Country,Sector,Peak date,Peak index value,Latest date,Latest index value,Decline from peak to latest (%)
GB,Data & Analytics,2022-03-31,194.29,2026-04-17,55.72,-71.32
US,Software Development,2022-02-28,233.94,2026-04-17,73.14,-68.74
US,Data & Analytics,2022-03-27,202.66,2026-04-17,63.4,-68.72
GB,"IT Infrastructure, Operations & Support",2022-06-03,168.72,2026-04-17,54.11,-67.93
DE,Software Development,2022-05-21,168.96,2026-04-17,54.69,-67.63
GB,Software Development,2022-04-08,181.59,2026-04-17,63.16,-65.22
GB,IT Systems & Solutions,2022-04-08,185.17,2026-04-17,66.26,-64.22
US,IT Systems & Solutions,2022-04-26,197.28,2026-04-17,72.9,-63.05
FR,Software Development,2022-07-14,141.03,2026-04-17,58.85,-58.27
DE,Data & Analytics,2022-05-21,185.61,2026-04-17,79.03,-57.42
US,"IT Infrastructure, Operations & Support",2022-06-14,159.33,2026-04-17,70.44,-55.79
DE,"IT Infrastructure, Operations & Support",2022-06-10,157.77,2026-04-17,71.44,-54.72
FR,IT Systems & Solutions,2022-12-31,160.17,2026-04-17,74.27,-53.63
DE,IT Systems & Solutions,2022-06-10,192.59,2026-04-17,90.18,-53.18
FR,"IT Infrastructure, Operations & Support",2022-12-31,159.09,2026-04-17,76.05,-52.2
