job_id,job_title,job_category,posting_date,seniority,country,salary,skills_list
c75f4f73-975a-4b33-94f8-b370295e9b89,Data Analyst,Augmentation-Prone,2025-05-06,Junior,EU,43657,"Data visualization, Python, Reporting, Tableau"
9cb86251-a8e3-4c7f-b46e-00c09ae66ef9,Software Development,Mixed/Control,2025-02-17,Junior,US,92164,"Git, Python, REST APIs, Unit testing"
e08f0115-9f6e-46e3-bc06-5b9a264bbdbe,Software Development,Mixed/Control,2025-10-29,Mid,EU,74115,"JavaScript, REST APIs, SQL"
1973839b-4f7f-4ecf-9fa2-30f725e108a3,IT Systems & Solutions,Mixed/Control,2025-06-22,Mid,US,93349,"Azure, Cloud, Linux"
326f79e6-b14d-4db9-b443-2a1451eaa968,IT Systems & Solutions,Mixed/Control,2025-08-24,Senior,US,137571,"Azure, Linux, VMware"
f1d583c6-27ec-4925-85db-f77a87e61968,IT Systems & Solutions,Mixed/Control,2025-01-24,Mid,US,111668,"Azure, Linux, Networking, VMware"
2c83c43a-9c8e-402c-9292-27bf051b4799,Data Analyst,Augmentation-Prone,2025-08-21,Lead,EU,115830,"A/B testing, Data visualization, Pandas, Power BI, Python"
17094408-63fb-46be-8fa1-e981a494ecb9,IT Systems & Solutions,Mixed/Control,2025-10-01,Junior,US,78021,"AWS, Azure, Cloud, VMware"
012caf6f-29cf-4792-a8d6-ae35630e37d5,Operations and Support,Automation-Prone,2025-04-28,Senior,US,81051,"Email support, Incident management, Monitoring, SLA management, ServiceNow"
b4976ef8-8dcc-41b9-9536-c203010aac3f,IT Systems & Solutions,Mixed/Control,2025-07-22,Mid,EU,76064,"Active Directory, Cloud, Linux, Security, System administration, VMware"
d610a4bb-cd3b-40b5-acd8-5a63249b0271,IT Systems & Solutions,Mixed/Control,2025-07-05,Lead,EU,114373,"AWS, Azure, Linux, Security"
c0e8356c-eabe-4048-9940-e14dded35ad8,Data Analyst,Augmentation-Prone,2025-11-18,Junior,US,75242,"A/B testing, Excel, Pandas, Power BI, Python, Reporting, Statistics, Tableau"
04f9e260-b8f6-4910-bf72-a3d7784c3bbc,Data Analyst,Augmentation-Prone,2025-11-25,Junior,EU,45573,"Pandas, Statistics, Tableau"
e1dfaf57-5ac5-4ee3-a139-3e48280308ca,Software Development,Mixed/Control,2025-09-14,Junior,EU,50854,"Agile, Docker, Git, Java, JavaScript, Python, SQL"
42e51e83-9a62-4c90-8c0d-eda1761cfd1a,IT Systems & Solutions,Mixed/Control,2025-02-27,Lead,US,168788,"Networking, Security, System administration, VMware, Windows Server"
0dcba137-e66f-442d-83e4-475a01324c1c,Data Analyst,Augmentation-Prone,2025-09-30,Lead,US,160094,"A/B testing, Data visualization, Pandas, Reporting"
1b7a93aa-a04c-4bcc-bfa0-277337dd2695,Software Development,Mixed/Control,2025-06-09,Mid,US,123074,"Agile, CI/CD, Docker, Java, Python, REST APIs, SQL, Unit testing"
b9e01201-9f35-4858-b762-3440ca3fcf45,Data Analyst,Augmentation-Prone,2025-01-04,Mid,US,92326,"A/B testing, Data visualization, Excel, Pandas, Python, Reporting, SQL, Statistics"
