date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,DE,100.0,new postings,Data & Analytics
2020-02-01,DE,100.0,total postings,Data & Analytics
2020-02-02,DE,102.9,new postings,Data & Analytics
2020-02-02,DE,99.96,total postings,Data & Analytics
2020-02-03,DE,105.72,new postings,Data & Analytics
2020-02-03,DE,99.91,total postings,Data & Analytics
2020-02-04,DE,106.67,new postings,Data & Analytics
2020-02-04,DE,99.6,total postings,Data & Analytics
2020-02-05,DE,107.1,new postings,Data & Analytics
2020-02-05,DE,99.37,total postings,Data & Analytics
2020-02-06,DE,105.95,new postings,Data & Analytics
2020-02-06,DE,99.25,total postings,Data & Analytics
2020-02-07,DE,106.07,new postings,Data & Analytics
2020-02-07,DE,99.0,total postings,Data & Analytics
2020-02-08,DE,110.19,new postings,Data & Analytics
2020-02-08,DE,98.79,total postings,Data & Analytics
2020-02-09,DE,114.87,new postings,Data & Analytics
2020-02-09,DE,98.71,total postings,Data & Analytics
2020-02-10,DE,118.78,new postings,Data & Analytics
2020-02-10,DE,98.63,total postings,Data & Analytics
2020-02-11,DE,123.51,new postings,Data & Analytics
2020-02-11,DE,98.59,total postings,Data & Analytics
2020-02-12,DE,127.58,new postings,Data & Analytics
2020-02-12,DE,98.54,total postings,Data & Analytics
2020-02-13,DE,131.0,new postings,Data & Analytics
2020-02-13,DE,98.35,total postings,Data & Analytics
2020-02-14,DE,129.91,new postings,Data & Analytics
2020-02-14,DE,98.25,total postings,Data & Analytics
2020-02-15,DE,124.98,new postings,Data & Analytics
2020-02-15,DE,98.24,total postings,Data & Analytics
2020-02-16,DE,118.67,new postings,Data & Analytics
2020-02-16,DE,98.07,total postings,Data & Analytics
2020-02-17,DE,113.64,new postings,Data & Analytics
2020-02-17,DE,98.01,total postings,Data & Analytics
2020-02-18,DE,108.8,new postings,Data & Analytics
2020-02-18,DE,98.02,total postings,Data & Analytics
2020-02-19,DE,103.71,new postings,Data & Analytics
2020-02-19,DE,97.95,total postings,Data & Analytics
2020-02-20,DE,99.8,new postings,Data & Analytics
2020-02-20,DE,97.99,total postings,Data & Analytics
