date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,GB,100.0,new postings,Data & Analytics
2020-02-01,GB,100.0,total postings,Data & Analytics
2020-02-02,GB,100.46,new postings,Data & Analytics
2020-02-02,GB,99.9,total postings,Data & Analytics
2020-02-03,GB,100.57,new postings,Data & Analytics
2020-02-03,GB,99.76,total postings,Data & Analytics
2020-02-04,GB,101.71,new postings,Data & Analytics
2020-02-04,GB,99.64,total postings,Data & Analytics
2020-02-05,GB,103.64,new postings,Data & Analytics
2020-02-05,GB,99.95,total postings,Data & Analytics
2020-02-06,GB,105.56,new postings,Data & Analytics
2020-02-06,GB,100.16,total postings,Data & Analytics
2020-02-07,GB,106.37,new postings,Data & Analytics
2020-02-07,GB,100.36,total postings,Data & Analytics
2020-02-08,GB,105.98,new postings,Data & Analytics
2020-02-08,GB,100.48,total postings,Data & Analytics
2020-02-09,GB,106.62,new postings,Data & Analytics
2020-02-09,GB,100.65,total postings,Data & Analytics
2020-02-10,GB,107.82,new postings,Data & Analytics
2020-02-10,GB,101.01,total postings,Data & Analytics
2020-02-11,GB,108.61,new postings,Data & Analytics
2020-02-11,GB,101.32,total postings,Data & Analytics
2020-02-12,GB,108.58,new postings,Data & Analytics
2020-02-12,GB,101.43,total postings,Data & Analytics
2020-02-13,GB,107.86,new postings,Data & Analytics
2020-02-13,GB,101.52,total postings,Data & Analytics
2020-02-14,GB,107.93,new postings,Data & Analytics
2020-02-14,GB,101.59,total postings,Data & Analytics
2020-02-15,GB,109.07,new postings,Data & Analytics
2020-02-15,GB,101.65,total postings,Data & Analytics
2020-02-16,GB,109.67,new postings,Data & Analytics
2020-02-16,GB,101.88,total postings,Data & Analytics
2020-02-17,GB,110.04,new postings,Data & Analytics
2020-02-17,GB,101.97,total postings,Data & Analytics
2020-02-18,GB,109.7,new postings,Data & Analytics
2020-02-18,GB,101.88,total postings,Data & Analytics
2020-02-19,GB,110.02,new postings,Data & Analytics
2020-02-19,GB,101.96,total postings,Data & Analytics
2020-02-20,GB,109.54,new postings,Data & Analytics
2020-02-20,GB,102.04,total postings,Data & Analytics
2020-02-21,GB,110.19,new postings,Data & Analytics
2020-02-21,GB,102.18,total postings,Data & Analytics
2020-02-22,GB,110.11,new postings,Data & Analytics
2020-02-22,GB,102.13,total postings,Data & Analytics
2020-02-23,GB,110.23,new postings,Data & Analytics
2020-02-23,GB,102.22,total postings,Data & Analytics
2020-02-24,GB,110.3,new postings,Data & Analytics
2020-02-24,GB,102.23,total postings,Data & Analytics
2020-02-25,GB,110.99,new postings,Data & Analytics
2020-02-25,GB,102.43,total postings,Data & Analytics
2020-02-26,GB,110.79,new postings,Data & Analytics
2020-02-26,GB,102.5,total postings,Data & Analytics
2020-02-27,GB,112.42,new postings,Data & Analytics
2020-02-27,GB,102.59,total postings,Data & Analytics
2020-02-28,GB,112.02,new postings,Data & Analytics
2020-02-28,GB,102.59,total postings,Data & Analytics
2020-02-29,GB,111.27,new postings,Data & Analytics
2020-02-29,GB,102.79,total postings,Data & Analytics
2020-03-01,GB,110.09,new postings,Data & Analytics
2020-03-01,GB,102.81,total postings,Data & Analytics
2020-03-02,GB,109.03,new postings,Data & Analytics
2020-03-02,GB,102.77,total postings,Data & Analytics
2020-03-03,GB,106.58,new postings,Data & Analytics
2020-03-03,GB,102.74,total postings,Data & Analytics
2020-03-04,GB,104.36,new postings,Data & Analytics
2020-03-04,GB,102.68,total postings,Data & Analytics
2020-03-05,GB,101.51,new postings,Data & Analytics
2020-03-05,GB,102.57,total postings,Data & Analytics
2020-03-06,GB,100.12,new postings,Data & Analytics
2020-03-06,GB,102.51,total postings,Data & Analytics
2020-03-07,GB,99.28,new postings,Data & Analytics
2020-03-07,GB,102.21,total postings,Data & Analytics
2020-03-08,GB,98.64,new postings,Data & Analytics
2020-03-08,GB,101.9,total postings,Data & Analytics
2020-03-09,GB,98.51,new postings,Data & Analytics
2020-03-09,GB,101.74,total postings,Data & Analytics
2020-03-10,GB,99.85,new postings,Data & Analytics
2020-03-10,GB,101.81,total postings,Data & Analytics
2020-03-11,GB,101.65,new postings,Data & Analytics
2020-03-11,GB,101.89,total postings,Data & Analytics
2020-03-12,GB,103.14,new postings,Data & Analytics
2020-03-12,GB,101.97,total postings,Data & Analytics
2020-03-13,GB,103.33,new postings,Data & Analytics
2020-03-13,GB,101.86,total postings,Data & Analytics
2020-03-14,GB,103.38,new postings,Data & Analytics
2020-03-14,GB,102.02,total postings,Data & Analytics
2020-03-15,GB,103.67,new postings,Data & Analytics
2020-03-15,GB,102.07,total postings,Data & Analytics
2020-03-16,GB,103.31,new postings,Data & Analytics
2020-03-16,GB,102.12,total postings,Data & Analytics
2020-03-17,GB,101.93,new postings,Data & Analytics
2020-03-17,GB,101.65,total postings,Data & Analytics
