date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100.0,total postings,Data & Analytics
2020-02-01,US,100.0,new postings,Data & Analytics
2020-02-02,US,99.97,total postings,Data & Analytics
2020-02-02,US,99.98,new postings,Data & Analytics
2020-02-03,US,99.84,total postings,Data & Analytics
2020-02-03,US,99.75,new postings,Data & Analytics
2020-02-04,US,99.72,total postings,Data & Analytics
2020-02-04,US,98.37,new postings,Data & Analytics
2020-02-05,US,99.67,total postings,Data & Analytics
2020-02-05,US,97.48,new postings,Data & Analytics
2020-02-06,US,99.62,total postings,Data & Analytics
2020-02-06,US,97.27,new postings,Data & Analytics
2020-02-07,US,99.62,total postings,Data & Analytics
2020-02-07,US,97.79,new postings,Data & Analytics
2020-02-08,US,99.73,total postings,Data & Analytics
2020-02-08,US,98.38,new postings,Data & Analytics
2020-02-09,US,99.75,total postings,Data & Analytics
2020-02-09,US,99.22,new postings,Data & Analytics
2020-02-10,US,99.98,total postings,Data & Analytics
2020-02-10,US,100.78,new postings,Data & Analytics
2020-02-11,US,100.13,total postings,Data & Analytics
2020-02-11,US,102.42,new postings,Data & Analytics
2020-02-12,US,100.18,total postings,Data & Analytics
2020-02-12,US,103.65,new postings,Data & Analytics
2020-02-13,US,100.2,total postings,Data & Analytics
2020-02-13,US,104.08,new postings,Data & Analytics
2020-02-14,US,100.14,total postings,Data & Analytics
2020-02-14,US,103.34,new postings,Data & Analytics
2020-02-15,US,99.99,total postings,Data & Analytics
2020-02-15,US,102.65,new postings,Data & Analytics
2020-02-16,US,100.03,total postings,Data & Analytics
2020-02-16,US,102.28,new postings,Data & Analytics
2020-02-17,US,100.0,total postings,Data & Analytics
2020-02-17,US,101.47,new postings,Data & Analytics
2020-02-18,US,99.8,total postings,Data & Analytics
2020-02-18,US,99.9,new postings,Data & Analytics
2020-02-19,US,99.75,total postings,Data & Analytics
2020-02-19,US,98.66,new postings,Data & Analytics
2020-02-20,US,99.73,total postings,Data & Analytics
2020-02-20,US,97.86,new postings,Data & Analytics
2020-02-21,US,99.69,total postings,Data & Analytics
2020-02-21,US,98.08,new postings,Data & Analytics
2020-02-22,US,99.55,total postings,Data & Analytics
2020-02-22,US,98.48,new postings,Data & Analytics
2020-02-23,US,99.52,total postings,Data & Analytics
